Job Title,Company,Minimum Qualification,Skills Required,Location,Years of Experience,Date Posted,Department,Summary
"Senior Manager, Fin Ops & IT Enviroment Management at World Vision Kenya",World Vision Kenya,,Effective leadership and collaboration skills to align cross-functional teams toward shared financial and operational goals.,"Expertise in cloud financial management (FinOps) practices and tools, including budget forecasting, cost allocation, and optimization.","Bachelor’s Degree in Computer Science, Information Systems, or other related field. Or equivalent work experience.",,Other," The Senior Manager, FinOps and IT Environment Management provides strategic leadership across cloud financial operations and IT service monitoring . The role bridges financial stewardship and operational excellence to ensure efficient, transparent and value-driven delivery of digital infrastructure ."
Psychology Teacher at Kilifi International School,Kilifi International School,,,,,,Education," We are looking for a passionate Psychology Teacher to join our dynamic team . If you have the expertise and enthusiasm to inspire young minds, we'd love to hear from you . Those with TSC number will have an added advantage ."
Fresh Recruitment at Mnarani Beach Club,Mnarani Beach Club,,The chance to grow your skills in the hospitality industry.,A stunning work location with a private beach,Passionate about performance and guest experience,,Other," You Should Be:                Outgoing and full of positive energy                 Great with both kids and adults                Passionate about performance and guest experience                 A stunning work location with a private beach provides a vibrant team environment .                                                                                                         performable rewards provide performance-based meals and performance-based rewards providing the chance to grow your skills in the hospitality industry.                                ™™™: ""Bring your energy. Bring your talent. Be the heartbeat of our guest experience,""                                       ""We're looking for a great place to work in a"
Agricultural Economist and Value Chain Analyst (Part-Time Consultant) at Jabulani Youths for Transformation,Jabulani Youths for Transformation,Qualifications,0–2 years of relevant experience (recent graduates encouraged if demonstrating strong data and analysis skills).,Advise on efficient cooperative resource allocation.,0–2 years of relevant experience (recent graduates encouraged if demonstrating strong data and analysis skills).,,IT," Purpose of the Role is to provide economic and market insights, enterprise profitability analysis, and support resource management and business development efforts at Sote Tule to enhance cooperative sustainability and member livelihoods ."
Payroll Accountant at Tatu City Limited,Tatu City Limited,"CPA (K), ACCA, or equivalent professional qualification",Strong analytical and problem-solving skills,,"We are seeking a Payroll Accountant to manage and oversee the end-to-end payroll process while supporting financial accounting functions. The ideal candidate will bring over 5 years of experience, preferably from a Big 5 audit firm, and demonstrate high levels of integrity, confidentiality, and technical accounting expertise.",,Finance," We are seeking a Payroll Accountant to manage and oversee the end-to-end payroll process while supporting financial accounting functions . The ideal candidate will bring over 5 years of experience, preferably from a Big 5 audit firm ."
"Branch Manager, Takaba Branch at KCB Bank Kenya",KCB Bank Kenya,,,,A minimum of 6 years General Banking experience.,,Other," The Branch Manager will be responsible for the overall leadership of the branch to achieve growth and profitability . Reporting to the Regional Business Manager, Nairobi Environs ."
Current Vacancies at Oraimo,Oraimo,Qualifications & Skills,Qualifications & Skills,,"1-3 years of hands-on experience in shooting and editing short videos, preferably in the 3C accessories or consumer electronics space.",,IT," Oraimo is looking for a creative, trend-savvy, and hands-on Content Specialist to join our team and help drive brand visibility through compelling short-form video content ."
Job Advertisements at Kenya School of Law,Kenya School of Law,,,,At least four (4) years’ post admission relevant work experience in public or private sector;,,Other, The incumbent will teach ATP courses and carry out research . He will also assist in the planning and coordination of specific programmes or projects within the department . The applicant must have at least four (4) years’ post admission relevant work experience in public or private sector .
Head of IT at BURN,BURN,,Skills and Experience,,Skills and Experience,,Other," Head of IT sets the technical vision and owns end-to-end delivery of secure, reliable, and scalable technology services across the organisation’s 15-country footprint . The role spans on-prem and cloud infrastructure, enterprise networking, call-centre platforms, and a rapidly evolving cybersecurity landscape ."
Senior Tour Consultant at ATL Global Business,ATL Global Business,,Excellent verbal and written communication skills.,,"Based at our regional office in Nairobi, the Senior Tour Consultant will be responsible for managing direct client and agent relationships, with a strong focus on creating high-quality safari proposals tailored to luxury and high-end travel experiences.",,Other, Senior Tour Consultant will be responsible for managing direct client and agent relationships . Responsible for creating high-quality safari proposals tailored to luxury and high-end travel experiences . Success in this position requires commercial acumen and operational precision .
Debt Collection and Recovery Officer at Finley International Limited,Finley International Limited,,,,,,Administration, Finley International Ltd provides complete debt recovery solutions in Kenya and the larger East African region . We combine a customer-centric approach with cutting edge technology solutions to provide great contact management .
Gender Equality Specialist - Gender Mainstreaming at United Nations Office for Project Services (UNOPS),United Nations Office for Project Services (UNOPS),,,,A Bachelor’s degree in any of the above-mentioned fields or related in combination with an additional 2 years of relevant work experience may be accepted instead of an advanced university degree.,,IT," The Gender Equality Specialist will be responsible for the implementation of all gender-related work . He will monitor the project and review it annually, update and revise it as necessary ."
Vacancies at Kenya Wine Agencies Limited (KWAL),Kenya Wine Agencies Limited (KWAL),"Minimum Required Qualifications, Knowledge and Experience",Strong negotiation skills,,"Minimum Required Qualifications, Knowledge and Experience",,Other," This position is responsible for increasing sales revenue within the allocated region, managing and executing existing outlets while prospecting and developing new accounts . Main Responsibilities include sales volume and revenue targets by territory as per territory plans ."
Vacancies at Diani Beach Hospital,Diani Beach Hospital,,Strong analytical and communication skills,,,,Other," Key Responsibilities: Drive ESG strategy and implementation .Monitor compliance with sustainability standards .Collaborate across teams to ensure responsible practices . Engage stakeholders and produce ESG reports . Qualifications:  Background in sustainability, environmental science, social governance, or related field ."
Brand Ambassadors at Dream Big Lottery,Dream Big Lottery,,,,,,Marketing, Join the Dream Big Lottery (DBL) team and become the face of our brand . Promote DBL authentically . Earn by commissions & exclusive rewards . Be part of exciting campaigns and events .
Program Manager at Africa Inland Church,Africa Inland Church,,Good communication and interpersonal skills.,,"Development, project planning and management or relevant field with over 5 years work experience.",,Other, The Program manager (PM) will be the team leader of the program team . He will work closely with USAID Imarisha OVC Technical lead and AICHM leadership .
Vacancies at PrideInn,PrideInn,Diploma,,,2 Years,,Other," The ideal candidate will be skilled in photography, social media content creation, and photo editing . This role works closely with the Videographer and Marketing team to deliver consistent, on-brand visual content ."
Technical Sales Representative at Clovers Management & Training Consultants Ltd,Clovers Management & Training Consultants Ltd,,,,,,IT," The ideal candidate will have a strong technical sales background, preferably in steel or aluminium products . He will be responsible for driving sales growth, building client relationships and promoting Rolim’s diverse product range ."
Jobs at Kim-Fay East Africa Limited,Kim-Fay East Africa Limited,Bachelors in any Engineering Qualification,,,Atleast 4 years of Operational experience preferably in Tissue Machine/Paper Mill Operations,,Other, Atleast 4 years of Operational experience preferably in Tissue Machine/Paper Mill Operations . Bachelors in any Engineering Qualification .
Jobs at Smart Printers Limited,Smart Printers Limited,,,,,,Other," If you can handle the machine, apply . Only shortlisted candidates will be contacted . Go to method of application to apply for the job ."
Direct Sales Representative - Nairobi at SafeBoda,SafeBoda,Qualifications & Key Competencies,,,"Preferably, you have a business, marketing, or similar diploma or bachelor's Degree, a minimum of one year of experience in business development, marketing, sales, customer acquisition, or related roles.",,IT, The main objective of this role is to increase customer orders and app downloads . We are looking for motivated sales agents that work on a commission basis . You will promote and sell our app's services to small businesses .
Compliance Risk and Audit Officer at Newark Frontiers,Newark Frontiers,,Excellent risk assessment and analytical skills.,,,,Administration," The compliant Risk and audit Officer will support the design and implementation of risk and compliance frameworks within the microfinance institution . This includes ensuring compliance with regulatory bodies, monitoring operational risks, and enhancing internal control systems to support sustainable financial inclusion ."
Creative Writer – Resource Mobilization at Africa Enterprise Challenge Fund (AECF),Africa Enterprise Challenge Fund (AECF),,Possess excellent written and verbal communication skills with a high level of attention to detail.,,"Have a minimum of five(5) years of professional writing experience, preferably in a development, fundraising, or donor-facing context.",,Other," Drafting compelling grant proposals, donor reports, and investment cases that are data-driven, impact-oriented, and aligned with AECF’s strategic objectives and donor priorities . Translate raw and complex data into actionable insights that enhance narrative quality in donor proposals and inform partnership development strategies ."
Financial & Investment Analyst at Africa Logistics Properties (ALP),Africa Logistics Properties (ALP),Qualifications & Skills,Qualifications & Skills,,"Up to 1 year of relevant experience in finance, investment analysis, or financial modeling, including internships or academic projects.",,IT," Financial and Investment Analysis Manager will lead the design and development of advanced financial models for real estate, corporate, and strategic business initiatives . He will also lead the development of business intelligence dashboards and implement business intelligence dashing boards ."
"Sales Representative (B2B, Software Sales) at Talent Grid Africa",Talent Grid Africa,,"Excellent communication, negotiation, and relationship-building skills",,"3–5 years of experience in B2B sales, preferably in software or tech-related fields",,IT," What You’ll Be doing: Identifying and qualifying leads across industries to build a solid pipeline . Providing tailored software solutions that solve client-specific problems. Providing customized software solutions to solve client specific problems. Building strong, consultative relationships with decision-makers ."
BI Intern at Sybyl Limited,Sybyl Limited,Qualification.,,,,,Other," Assist in gathering, analyzing, and automating data across systems . Support dashboard development, predictive modeling, and scripting tasks . Work with tools like Python, Qlik Sense, Power BI, UiPath, and Google Document AI APIs . Help streamline processes using low-code or automated workflows ."
Research Manager at CLASP,CLASP,Qualifications,Strong research and analytical skills and the ability to translate analysis into concise recommendations.,,we are excited by candidates with unique and different work histories.,,Other," Responsibilities include overseeing the implementation, delivery and reporting for the LEIA research output . Leading and growing a high-performing research team . Evolve our energy access research strategy to support CLASP's mission to make appliances as planet-neutral and people-positive as possible ."
QA Manager – Flowers Packhouse at AAA Growers,AAA Growers,,Knowledge of ISO 9001 Quality Management Standards and Internal Auditing skills.,,5 years’ experience in the Flower Industry preferably Roses Production. 2 years’ experience in a similar or related position.,,Other," AAA Roses is the flower division within AAA Growers . At AAA Roses, we produce high quality rose stems and summer flowers for export . A happy customer is our main goal at AAA Roses ."
Fresh Recruitments at Konza Technopolis Development Authority,Konza Technopolis Development Authority,,"Manage staff job performance career development, capacity and deployment of skills.",,"Ten (10) years’ work experience, three (3) of which should be in a senior management position in public sector with experience in contracting and dispute resolution.",,Other," The Manager will provide leadership and ensure efficiency and effective management of staff and resources in the Legal Services Division . He will report to the Corporation Secretary and Chief Manager, Legal Services ."
Head of Finance & Strategy at SMEP Microfinance Bank,SMEP Microfinance Bank,Qualifications,Strong problem solving and organization skills with the ability to exercise sound judgment and make decisions based on accurate and timely analyses.,,"Key Qualities, Competencies & Experiences",,Finance," Job holder will be responsible for effective strategic and operational financial planning, monitoring and reporting and ensuring compliance with local and international reporting and accountings standards and procedures ."
Careers at Standard Bank Group,Standard Bank Group,Qualifications,,,Experience Required,,Other," The role is to support the Chief Risk Officer by effectively assuming full responsibility and accountability for the risk governance framework . Lead the development and delivery of high-quality risk reporting materials, including executive and board-level risk packs . Synthesize complex risk data into concise, actionable insights tailored for senior leadership and board audiences ."
"Tech Sales Executive (B2B, SMB Segment) at Tridge",Tridge,Drive new customer acquisition through outbound prospecting and inbound lead qualification,"Exceptional oral and written communication skills, with an ability to speak effectively to senior business stakeholders",,"3+ years of experience in B2B tech, platform, or data/intelligence sales — ideally with a strong focus on SMB/SME customers through inside sales or similar roles.",,Marketing, Tridge Eye is looking for a Tech Sales Executive to take ownership of the full sales cycle . The role is best suited for individuals who excel in fast-paced environments .
Junior Java Backend Engineer at Zeraki,Zeraki,Qualifications,,,2-5 years of experience in back-end development with Java EE and Spring Boot.,,IT," As a Junior Java EE and Spring Boot Engineer at Zeraki, you will be responsible for designing, developing, and maintaining back-end services for our platform . Your role will focus on improving code quality and optimizing performance ."
Retail Executive at DHL,DHL,Qualifications & Key Requirements,Skills,,Apply practical knowledge of job area typically obtained through advanced education and work experience,,IT," Job Purpose: Implement the prescribed retail plans and processes to analyze data, periodical forecasting and reporting of data to management in line with business strategy and objectives, Group guidelines and policies . Apply practical knowledge of job area typically obtained through advanced education and work experience ."
Finance Manager at IsraAID,IsraAID,ACCA or CPA qualification a MUST,"The purpose of this position is for the overall leadership, compliance, and oversight of the Finance Department. The Finance Manager will engage in Financial Strategic Management and Financial Donor Compliance. The incumbent needs to have experience working with complex Excel files, Budgeting, Financial Controlling, critical thinking skills in Finance Management and sound knowledge of accounting principles.",,"The purpose of this position is for the overall leadership, compliance, and oversight of the Finance Department. The Finance Manager will engage in Financial Strategic Management and Financial Donor Compliance. The incumbent needs to have experience working with complex Excel files, Budgeting, Financial Controlling, critical thinking skills in Finance Management and sound knowledge of accounting principles.",,IT," The Finance Manager will engage in Financial Strategic Management and Financial Donor Compliance . The incumbent needs to have experience working with complex Excel files, Budgeting, Financial Controlling, critical thinking skills in Finance Management ."
Open Positions at ForumCiv Kenya,ForumCiv Kenya,"Relevant academic degree in project management, international development, administration, social sciences, or equivalent qualifications.",Strong analytical and writing skills,,"A minimum of 2 years work experience, with a proven track record of significant achievement in programme/project management and administration in the development sector.",,Other," The position is located at ForumCiv's office in Nairobi, Kenya . The Programme Assistant will be responsible for the planning and implementation of the programme ."
Bar Man at Stedmak Gardens and Recreational Centre,Stedmak Gardens and Recreational Centre,,"We are looking for an experienced and customer-focused Bar Man to join our team. The successful candidate must have hands-on experience working in a bar, with proven skills in preparing and serving a variety of beverages, maintaining high levels of cleanliness, and delivering exceptional service. This role demands strong drink knowledge, speed, accuracy, and the ability to engage positively with guests.",,"We are looking for an experienced and customer-focused Bar Man to join our team. The successful candidate must have hands-on experience working in a bar, with proven skills in preparing and serving a variety of beverages, maintaining high levels of cleanliness, and delivering exceptional service. This role demands strong drink knowledge, speed, accuracy, and the ability to engage positively with guests.",,Other," The successful candidate must have hands-on experience working in a bar . The role demands strong drink knowledge, speed, accuracy, and the ability to engage positively with guests ."
Procurement Supplies & Management at Mount Kenya University,Mount Kenya University,,At least three (3) years teaching experience at university level and demonstrated hands on skills in software development and databases;,,At least three (3) years teaching experience at university level and demonstrated hands on skills in software development and databases;,,Other, At least three (3) years teaching experience at university level and demonstrated hands on skills in software development and databases . Must have master’s degree in Procurement/Logistics/Purchasing and Supply Chain Management .
Direct Sales Agent (DSA) - Kakamega at HCS Affiliates Group,HCS Affiliates Group,Qualifications- Academic and Professional,Marketing skills,DSA - Kakamega,Support and implement the customer experience improvement strategies for increased sales,,Marketing," The role needs to adhere and function within the guidelines for finance controls, processes, and policies that encompass retail operations mandate . The Direct Sales Agent (DSA) reports to: Shop Team Leader . The role is a direct sales agent in the Telecommunications sector ."
Sustainability Executive at British American Tobacco (BAT),British American Tobacco (BAT),Bachelors’ Degree in Mechanical Engineering /Chemical Engineering/any technical engineering degree course. A qualification in EHS will be an added advantage.,Effective communication and influencing skills,,5 years working experience in a Factory set up in a similar capacity excluding internship,,IT," To implement and maintain best practices of environment, health and safety standards within the Likoni factory Nairobi within the country in line with legal and corporate requirements and group safety guidelines ."
Lecturer in Cyber Security at Embu University College,Embu University College,,,,,,IT,
Current Recruitment at Mastercard Foundation,Mastercard Foundation,Relevant professional qualification;,"Excellent analytical skills, the ability to think strategically and contribute as a thought partner in the Foundation’s strategy development.",,"The Lead, Associate Engagement and Services is responsible for ensuring seamless onboarding, engagement, and support for Associates throughout their program journey. This role focuses on implementing engagement initiatives, managing community interactions, and supporting program partners to enhance the overall Associate experience. The job holder will collaborate with the Alumni, Safeguarding, and Youth Engagement teams to ensure alignment and create opportunities for Associates to transition successfully into dignified and fulfilling work.",,Other," Lead, Associate Engagement and Services is responsible for ensuring seamless onboarding, engagement, and support for Associates throughout their program journey . This role focuses on implementing engagement initiatives, managing community interactions, and supporting program partners to enhance the overall Associate experience ."
Jobs / Internship Opportunities at Kenya Airports Authority,Kenya Airports Authority,Key Qualifications and Experience,Skills and Competencies,,Key Qualifications and Experience,,IT," The job holder is responsible for co-ordinating, formulating and implementing the corporate budget, providing quarterly and annual performance management reports, analyzing costs, forecasting, and providing financial recommendations to guide decision making ."
School Cook at Reeds Africa Consult,Reeds Africa Consult,,,,,,Other, The School Cook will be responsible for preparing and cooking meals according to established recipes and menus . The Cook plays a vital role in maintaining the smooth operation of the kitchen .
Jobs at African Agricultural Technology Foundation,African Agricultural Technology Foundation,QUALIFICATIONS AND EXPERIENCE,KEY COMPETENCIES AND SKILLS,,QUALIFICATIONS AND EXPERIENCE,,Other," Human Resources Manager will lead the strategic and operational delivery of the HR function . The role will oversee talent acquisition, performance management, organizational development, HR governance, staff wellbeing, and digital transformation of HR systems ."
Vacancies at Meru University of Science and Technology,Meru University of Science and Technology,An earned PhD (or a Master degree qualification in special cases) in the relevant field from an accredited university.,,,At least three (3) years of teaching and research experience at the University level as a Lecturer or six (6) years research/industry experience.,,Other, At least three (3) years of teaching and research experience at the University level as a Lecturer or six (6) years research/industry experience .
Customer Success Account Mgmt M6 at Microsoft,Microsoft,Qualifications,,,"Master's Degree in Business, Sociology, Psychology, Computer Science, or related field AND 4+ years customer success, solution delivery, practice management, customer-facing consulting, or portfolio management experience OR Bachelor's Degree in Business, Sociology, Psychology, Computer Science or related field AND 6+ years customer success, solution delivery, practice management, customer-facing consulting, or portfolio management experience OR equivalent experience.",,Other," Customer Relationship Management Manager leads by example through owning operational executive relationships with key customer, partner, and internal contacts . Ensures key stakeholders (including partners) are satisfied with agreed objectives and outcomes ."
Careers at Absa Bank Limited,Absa Bank Limited,Qualification,,,Always ensure excellent customer experience,,Other, Have a clear understanding of all Retail and Business Banking products that could satisfy customer needs . Manage portfolio risks in line with banks' portfolio appetite . Collaborate in the development and implementation of sales initiatives .
Ongoing Recruitment at Public Benefit Organizations Regulatory Authority,Public Benefit Organizations Regulatory Authority,- Business Administration preferably in Finance or equivalent qualifications from a recognized University or institution;,,,A minimum of ten (10) years’ work experience and at least five (5) in a supervisory role in the Public Service or Private Sector;,,Other," Job Specification: Review and ensure timely and accurate preparation of management accounting reports on monthly, quarterly and annual basis . Provide technical support to technical and other departments during the budget making process ."
Mechanical Technician at Unga Holding,Unga Holding,,,,,,Engineering," Plant Maintenance: Plant Maintenance . Process, plan, implement and control, review and adjust a maintenance schedule for assigned jobs.                Preventive and condition-based maintenance of machines as per laid down instructions and procedures to ensure smooth running.                "
Vacancies at NTT Ltd,NTT Ltd,,Good communication skills to effectively convey technical information to non-technical stakeholders.,,,,Other, The role of a security expert has been described as 'proactive' and 'vulnerable' The role is tasked with monitoring security alerts and events from various sources . The role includes the role of an incident response team .
Tender and Business Development Consultant at Zamara Kenya,Zamara Kenya,Supporting the development of tender prequalification submissions to meet client and industry standards.,Excellent written communication skills for drafting persuasive and technically compliance proposals,,"2 to 4 Years of experience in a tendering, bid coordination or business development support",,Other, The Tender and Business Development Consultant is responsible for supporting Zamara’s business development and client acquisition efforts . This role involves end-to-end management of the tendering process .
Ending Violence Against Women and Girls Financing Consultant at UN Women,UN Women,Required Qualifications,,Desk Review and consolidation of data available through public sources for domestic resource allocations for gender equality and information available related to EVAWG allocations from countries in East and Southern Africa for the 2015-present period.,A first-level university degree in combination with two additional years of qualifying experience may be accepted in lieu of the advanced university degree.,,IT, Consultant will be reporting to the Regional Policy Specialist for Ending Violence against Women . The consultant is responsible for the following: Review and consolidation of available data for Official Development Assistance (ODA) for East and Southern Africa .
"Postdoctoral Fellow, Global Science at Nature Conservancy",Nature Conservancy,,Strong writing and communication skills in English.,"May work in variable weather conditions, at remote locations, in hazardous terrain and under physically demanding circumstances","Ph.D. in a natural or social science discipline relevant to conservation science, awarded by start of the position and at least 1 to 2 years of related experience.",,Healthcare, Design experiments and collect data to identify the key human and livestock health priorities of relevant stakeholders . Conduct a thematic analysis and evidence review to identify how health co-benefits can be used to engage public and private finance in watershed restoration .
Reproductive Health Officer at International Rescue Committee,International Rescue Committee,,"Work with clinical services team to determine training needs for SRH service providers and community maternal and newborn health requirements for the targeted population through meetings, skills assessment sessions and /or administering surveys.",,"Foster inter-program linkages (clinical services, community health program and HIV), exchange of information and experiences and contribute to an integrated RMNCAH Program with support from Program Managers.",,Healthcare," The technical officer will provide technical oversight and support for quality services through training, mentorship, coaching and support supervision of healthcare providers and community health workers . The role of the officer is to ensure the health system is in line with MOH guidelines ."
Latest Vacancies at Kenya Agricultural & Livestock Research Organization,Kenya Agricultural & Livestock Research Organization,"- Biochemistry; Chemistry; Botany; Zoology; Physics; Agriculture; Environmental Science; Natural Resource Management; Animal Health and Production; Agriculture Education and Extension; Crop Improvement and Protection; Molecular and Cellular Biology; Agribusiness Management; Agricultural Economics; Agricultural Engineering; Animal Science; Dairy Technology and Management; Horticulture; Food Science and Technology; Land Resource Planning and Management; Soil, Water and Environmental Engineering; Range Management; Agroecosystems and Environment; Veterinary Medicine; Agrometeorology; Microbiology; Biotechnology; Biometrics; Science; Sugar Technology; Applied Statistics; Crop protection; Geography; Sociology; Anthropology; Home Economics; Nutrition and Dietetics; or equivalent qualification from a recognized institution;","Have excellent leadership, management and organizations skills;",,"Have not less than 15 years' experience in agricultural/livestock research, five (5) of which must have been in a senior management position in a reputable institution;",,Other," The job is to champion the organization's vision, mission and overall direction of the provision of high quality research agenda . The role is to manage the organizations operations and formulation of coherent policies and oversight of activities by coordinating the delivery of the organizations strategy ."
High School English/ Literature Teacher - Maternity Cover (Eldoret Boys) at Nova Pioneer,Nova Pioneer,,,,Strictly 3+years teaching experience.,,Education," Key responsibilities include delivering exceptional, enquiry-based English/ Literature lessons that align with the Kenya curriculum requirements . Creating a classroom environment that is . appropriate to the maturity and interests of the students . Creating an organized and focused learning environment . Infuse joy and passion for learning in lessons so that students are excited and interested in academic excellence ."
Latest Recruitment at National Construction Authority,National Construction Authority,"- Engineering, Architecture, Quantity Surveying, Construction Management or its equivalent qualification from a recognized institution;",,,"Cumulative service period of fifteen (15) years’ work experience, five (5) of which should have been in a management position or a in a comparable position;",,Other," Duties and Responsibilities will entail: - Coordinating the development, implementation and review of policies, strategies, legislations, guidelines, frameworks, norms, and programmes on compliance, compliance, enforcement, plans and programmes ."
IT Business Continuity Management Analyst at NCBA Group,NCBA Group,,Analytical and problem-solving skills to address IT resilience gaps.,,"Minimum 3 years of experience in IT Business Continuity, DR, or IT Risk Management.",,IT," The role is responsible for ensuring the resilience and availability of IT services by developing, implementing, and maintaining effective business continuity (BC) and Disaster Recovery (DR) frameworks ."
Protocol Assistant at United Nations Office at Nairobi (UNON),United Nations Office at Nairobi (UNON),,,,Work Experience,,IT, The field team is responsible for ensuring that there is a smooth flow of applications to the host government offices . Responsibilities include receiving and verifying applications for dispatch from administrative assistants and ensuring that all required supporting documentation is attached .
Vacancies at World Vision Kenya,World Vision Kenya,"Preferred Experience,  Knowledge and/or other Qualifications",Excellent communication skills and strong interpersonal and diplomacy skills.,,"Disseminate knowledge, tools and experience to National Directors, Board Support Staff/Coordinators and senior leadership regarding how to effectively support their national office and derive value from their work.",,Other," The position is open to candidates based in countries where World Vision International is legally registered to operate . The role will provide capacity building, development training and facilitation in best practice governance ."
Technical Machine Operator at Unga Holding,Unga Holding,,,,Enhance customer experience through production of conforming products,,Other, Technical Machine Operator will be responsible for attending to all milling machinery located on the roller floor and ensuring proper adjustment of the product as well as maintaining Good Manufacturing Practices (GMP) JOB PURPOSE: Reporting to Shift Miller .
Gateway Customer Service Supervisor at DHL,DHL,Expected Educational Qualifications,,,Offer DHL Express product and services to all walk in customers at the designated service point. Continuous provision of great service quality to enhance customer experience that will encourage repeat businesses for profitability and present a successful brand ambassador for the organization at all times.,,Other, The role of DHL Express is to provide continuous quality of service to all walk in customers at the designated service point . The role is to maintain a high standard of personal and office appearance and ensure the company's image is projected positively .
Human Resource Intern at Taifa Gas,Taifa Gas,,Organizational and time management skills,,"We are looking for a HR intern to work with us for a period of 3 months. During the internship, you will be collaborating with different stakeholders to run the HR operations smoothly. You will support the HR department in screening and recruiting new employees. You will get hands experience in the HR domain and will know how to work in a team.",,IT," We are looking for a HR intern to work with us for a period of 3 months . During the internship, you will be collaborating with different stakeholders to run the HR operations smoothly ."
Pharmaceutical Technologist at Pandya Memorial Hospital,Pandya Memorial Hospital,,,,Min 3-4 years' experience working in a busy hospital,,Other, Pharmacist must have a diploma in pharmacy from an accredited institution . Must have 3-4 years' experience working in a busy hospital . Must be enrolled with the pharmacy and poisons board . Must also have an annual practise license for 2025 .
Automotive Engineer (Transport & Logistics) at Kapa Oil,Kapa Oil,QUALIFICATIONS,SKILLS/KNOWLEDGE,,Minimum 3 years of experience in an automotive engineering role.,,IT," The role requires engineering support and continuous improvement in the performance, reliability, and efficiency of automotive systems used in transport and logistics operations . The role includes the maintenance, repair, and optimization of transport vehicles and associated systems ."
Accountant at Fertility Point,Fertility Point,,,,"Join a dynamic team that’s making a difference in healthcare. If you have solid experience in accounting and a passion for precision, this opportunity is for you. If you’re up for the task, apply today and be part of a team that’s transforming lives behind the scenes.",,Finance," Join a dynamic team that's making a difference in healthcare . If you have solid experience in accounting and a passion for precision, this opportunity is for you . Apply today and be part of a team that’s transforming lives behind the scenes ."
IT Support Team Leader at GardaWorld,GardaWorld,Qualifications and Skills,Qualifications and Skills,,"Bachelor’s degree in IT, Computer Science, or a related field (or equivalent experience).",,Other," The IT Support Team Leader is responsible for overseeing day-to-day IT support operations . This role involves managing a team of IT Support Officers, coordinating workload, resolving escalated issues, and ensuring adherence to SLAs and ITIL processes ."
Fresh Jobs at Stratostaff,Stratostaff,,Bachelor’s Degree or Semi Qualified accountant – CPA Part 11 4.2 Excellent communication Skills (Verbal & Written) and customer service skills.,,"Proven experience in customer service, preferably in logistics, warehousing, or supply chain environment preferably pharmaceutical or consumer healthcare company.",,Other," 100% of all orders to be captured within 1 hour . 100% orders captured within one hour . Follow up and coordinate with all relevant departments to ensure timely order fulfillment, address any delays or discrepancies ."
Sales and Collections Internship at 4G Capital,4G Capital,,Required Skills for a Sales and Collection Intern,,Experience in a related field will be an added advantage,,Marketing, Sales and Collections Interns will collaborate closely with Loans Officers and Collections Officers to meet demanding targets and deliver exceptional customer service to small business and entrepreneur clients .
Clinical Officer- Embu at Yanah Pharmacy,Yanah Pharmacy,,,,Relevant Work Experience At least 3 years' clinical experience.,,Healthcare, Professional Requirements: At least 3 years' clinical experience . Relevant Work Experience At least three years' Clinical experience . Professional requirements: Certificate of Registration and practice license from the Clinical Officers' Council .
Nursing Tutor at Outspan Medical College,Outspan Medical College,,"Excellent communication, interpersonal, and mentoring skills.",,"Oversee students during clinical placements, ensuring they gain hands-on experience in line with course objectives.",,Education," Duties and Responsibilities: Plan, prepare, deliver engaging and effective lessons in accordance with the nursing curriculum . Use innovative teaching methods, including simulations, demonstrations, and case studies to enhance learning ."
Salesperson at Platinum Credit Limited,Platinum Credit Limited,Qualifications,Sales and Marketing skills,,Previous experience in sales or customer service is a plus,,Marketing," This is a full-time on-site Salesperson role located in Nairobi County, Kenya . The Salesperson will be responsible for promoting and selling our financial products, maintaining customer relationships, meeting sales targets and providing excellent customer service ."
Administrative Assistant at Rainforest Alliance,Rainforest Alliance,,"Excellent interpersonal skills with ability to interact culturally, linguistically, and diplomatically with diverse internal and external stakeholders;",Support workspace setup and asset allocation for new employees and consultants;,Minimum 3 - 5 years’ relevant experience in administration and logistics roles;,,IT," The Administrative Assistant will provide effective administrative, logistics, and procurement support for East & Southern Africa (EASA teams and programs) The role ensures efficient operations through effective coordination, documentation and communication ."
General Manager – Operations at Bliss Healthcare,Bliss Healthcare,Education Qualifications and Skills Graduate,Education Qualifications and Skills Graduate,,"At least 5 years' experience in Management Ability to work and make decisions independently Strong communication (verbal and written) skills Good interpersonal, leadership and management skills",,Healthcare," General Manager (GM) Operations is responsible for overseeing daily operations and strategic direction of the medical facility . This role encompasses a broad range of responsibilities, from managing staff and budgets to ensuring compliance with regulations and maintaining stakeholder relationships ."
Research Assistant at Strathmore University,Strathmore University,,"The Job holder will offer critical support in delivering research outputs and assisting with grant writing, under the guidance of the Dean of STH. This role requires strong research capabilities, organizational skills, attention to detail, and the ability to balance research tasks with administrative duties.",,,,Administration," The job holder will offer critical support in delivering research outputs and assisting with grant writing, under the guidance of the Dean of STH . This role requires strong research capabilities, organizational skills, attention to detail, and the ability to balance research tasks with administrative duties ."
Vacancies at Cigna,Cigna,,·,,Our customer service team manages customer-queries through different communication channels (mainly email and phone) providing timely resolutions and pleasant customer experiences.,,Other, Cigna is looking for a customer service representative (CSR) to join our young and dynamic team . Responsibilities include managing day-to-day queries and keeping records of all customer interactions in the customer relationship management (CRM) tool .
