Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Assistant Project Manager at Classic Mouldings Limited,Classic Mouldings Limited,"The Assistant Project Manager will play a hands-on role in coordinating interior fit-outs and construction projects, maintaining timelines, upholding quality standards, managing site resources, and facilitating seamless communication across departments, clients, vendors, and artisans.
You will be expected to monitor project execution, enforce safety and quality standards, support procurement, and address site-level challenges with professionalism. Experience in interior design, construction, or architectural fit-out environments is essential.
Key Responsibilities Include:
Supporting the full lifecycle of interior and construction projects from planning through execution.
Coordinating communication between internal departments (design, sales, procurement, warehouse, and site).
Overseeing on-site activities, managing site teams, enforcing safety and quality compliance.
Managing resources (labor, materials, equipment) efficiently to minimize waste and downtime.
Engaging with clients professionally and managing expectations with clarity and excellence.
Documenting project milestones, meetings, progress reports, and supporting invoicing processes.
Building strong relationships with suppliers, artisans, and subcontractors to maintain high delivery standards.
Solving operational challenges quickly and maintaining smooth project delivery.
Required Qualifications & Experience:
A Bachelorâ€™s degree in Project Management, Architecture, Construction Management, Interior Design, or a related field.
Minimum of 3 yearsâ€™ project coordination/management experience, with proven exposure to interior or construction projects.
Demonstrated ability to handle high-value residential or commercial projects.
Working knowledge of procurement workflows, construction site dynamics, and design-led project processes.
Strong proficiency in project management tools like MS Project, Trello, Asana, or equivalent.
Understanding of health & safety, quality control, and technical design documentation.",,,,Unclear,"You will be expected to monitor project execution, enforce safety and quality standards, support procurement, and address site-level challenges with professionalism. Experience in interior design, construction, or architectural fit-out environments is essential.",Business
Careers at Plan International,Plan International,"The Opportunity
As part of the Global Supply Chain team in Plan International, in this role as the Test & Deployment Support Specialist you will be integral to the successful brownfield conversion from SAP ECC to SAP S/4HANA, with a specific focus on the Materials Management (MM) module, particularly procurement functionalities (both standard and custom-built).  
You will be involved in the execution and coordination of System Integration Testing (SIT) and User Acceptance Testing (UAT) phases, supporting the assurance of the accurate migration and functionality of MM procurement processes in the converted S/4HANA environment.
You will also assist in embedding the changes related to MM procurement during the conversion within Plan International global offices, supporting the development of training materials, and participating in the verification and alignment of MM-related master data before and after the conversion. 
You will need to be detail-oriented with experience in SAP, ideally with S/4HANA and SAP ECC hands-on experience. The ideal candidate will have experience in testing custom-built procurement features, executing test scripts, and supporting data migration and training material development. A basic understanding of procurement data objects and MM master data, with strong analytical, communication, and teamwork skills are key, along with the ability to thrive in a dynamic, global project environment. Fluency in English and cultural awareness are required.
go to method of application Â»",,"You will need to be detail-oriented with experience in SAP, ideally with S/4HANA and SAP ECC hands-on experience. The ideal candidate will have experience in testing custom-built procurement features, executing test scripts, and supporting data migration and training material development. A basic understanding of procurement data objects and MM master data, with strong analytical, communication, and teamwork skills are key, along with the ability to thrive in a dynamic, global project environment. Fluency in English and cultural awareness are required.",,Unclear,"You will need to be detail-oriented with experience in SAP, ideally with S/4HANA and SAP ECC hands-on experience. The ideal candidate will have experience in testing custom-built procurement features, executing test scripts, and supporting data migration and training material development. A basic understanding of procurement data objects and MM master data, with strong analytical, communication, and teamwork skills are key, along with the ability to thrive in a dynamic, global project environment. Fluency in English and cultural awareness are required.",Other
Power System Analysis Consultant Trainer with ETAP (Dynamic Analysis & Transient Stability) at Indepth Research Services (IRES),Indepth Research Services (IRES),"We are seeking an experienced Power System Analysis Consultant Trainer with ETAP to support the development and delivery of technical training in Dynamic Analysis and Transient Stability using ETAP software. This opportunity is open for both short-term and long-term projects.
Scope of Work:
The consultant will contribute to the design, facilitation, and continuous improvement of specialized training programs in dynamic and transient stability of power systems using ETAP. Responsibilities may include:
Delivering structured and interactive technical training to engineers and professionals across Africa.
Developing course content, practical labs, simulation cases, and assessment materials.
Providing expert guidance in real-world power system modeling and stability analysis.
Supporting post-training technical assistance and capacity building initiatives.
Advising on integration of ETAP-based dynamic studies into operational or planning environments.
Requirements:
Required Qualifications:
Degree in Electrical Engineering, Power Systems, or a related field (Masterâ€™s or higher is an added advantage).
Demonstrated expertise in ETAP, particularly in Dynamic Stability and Transient Simulation.
At least 5 years of professional experience in power system modeling, analysis, or grid operations.
Proven track record in technical training, facilitation, or consulting.
Excellent communication and instructional skills with a focus on hands-on delivery.",,Excellent communication and instructional skills with a focus on hands-on delivery.,,Unclear,We are seeking an experienced Power System Analysis Consultant Trainer with ETAP to support the development and delivery of technical training in Dynamic Analysis and Transient Stability using ETAP software. This opportunity is open for both short-term and long-term projects.,Information Technology
"Representative, Customer Care at Koko Networks",Koko Networks,"What You Will Do
Inbound & Outbound Customer Support
Answer incoming calls from customers and agents, addressing their questions and concerns. 
Place outbound calls to collect feedback, provide support, and drive fuel consumption.
Customer Relationship Management 
Communicate openly and honestly with customers to build and maintain strong relationships.
Field Customer Support
Conduct in-person visits to customers when necessary, providing hands-on assistance and resolving issues.
Issue Resolution & Escalation
Identify recurring customer issues, resolve them efficiently, and escalate when needed.
Process Adherence & Reporting
Follow KOKO Care processes and report customer feedback and trends to management.
What You Will Bring
Bachelor's degree or diploma. Strong understanding of customer service principles and call center operations.
Additional certifications in Customer Service Excellence, Call Center Operations, or CRM Systems are an advantage.
2+ years of experience in a call center or customer-facing role.
Proficiency in Gmail and Google Suite (Docs, Sheets, Slides).
Familiarity with CRM tools such as Zendesk, FreshService, QueueMetrics.
Strong problem-solving skills and customer orientation.
Basic problem-solving skills and a willingness to assist customers with their inquiries and concerns.
Strong communication and interpersonal skills.
Demonstrated ability to work with cross-functional teams to enhance customer service operations.
Fluency in English and Kiswahili.",,Strong problem-solving skills and customer orientation.,,Unclear,2+ years of experience in a call center or customer-facing role.,Information Technology
Current Jobs at Scion Hospital,Scion Hospital,"Principle Roles and Responsibilities
Perform all Radiographer/Sonographer primary responsibilities of attending to patients, their relatives and other stakeholders.
Qualifications
Registered Radiographer/Sonographer trained at a recognized Medical College
Minimum two yearsâ€™ experience in a busy health facility
Excellent knowledge in Imaging and accurate reporting
Excellent interpersonal skills.
Ability and willingness to learn in a multi-disciplinary set up.
go to method of application Â»",Qualifications,Excellent interpersonal skills.,,Unclear,Minimum two yearsâ€™ experience in a busy health facility,Other
Senior Associate at Axum,Axum,"As a Senior Associate, you will lead core strategy workstreams and program delivery. You will manage junior associates, contribute to business development and thought leadership, and actively engage clients and stakeholders to ensure meaningful impact. You will also bring strong capability in AI and digital tools, applying them to enhance strategic thinking, data analysis, and innovation in implementation.
Key Responsibilities
Problem Solving and Analysis
Lead problem structuring, analytical design, and insight generation across a workstream.
Conduct high-quality analyses and build well-structured Excel models.
Translate strategic insights into actionable recommendations, implementation plans, and roadmaps.
Lead discussions on the operating environment and the project context. Provide tactical solutions to respond to project changes.
Lead design of initiatives and provide support to junior colleagues in implementation.
Apply critical thinking to AI outputs, understanding their limitations and ensuring the quality of insights.
Project Management and Delivery
Lead project planning and manage day-to-day delivery of a workstream or project.
Support project implementation, including working as part of an embedded team, supporting Project Management Office (PMO) functions, supporting project communications, and Monitoring, Evaluation, and Learning (MEL).
Support stakeholder consultation and partner coordination to ensure high quality program delivery.
Support the development of comprehensive project plans and resource plans and ensure timely delivery of milestones.
Monitor progress against goals, flag and mitigate project risks, and manage documentation and learning capture.
Ensure efficient resource use, support operational coordination, and contribute to budget oversight when required.
Maintain high standards of documentation and knowledge management throughout the project lifecycle.
Communication and Presence
Structure and deliver high-quality written deliverables, including reports, slide decks, and proposals.
Lead client presentations, workshops, and stakeholder engagements with cultural sensitivity.
Translate complex findings into clear, compelling narratives tailored to decision-makers.
Provide editorial oversight for junior team members.
Relationship Management
Serve as the primary day-to-day point of contact for clients and external stakeholders, including decision-makers.
Build relationships with key client counterparts and external stakeholders, cultivating trust and credibility.
Support broader stakeholder engagement, advocacy efforts, and feedback loops to improve project outcomes.
Leadership and Team Development
Manage and coach junior associates, promoting a culture of growth, accountability, and inclusion.
Allocate tasks, track progress against milestones, and ensure high-quality, timely delivery.
Contribute to a positive team culture, especially during high-pressure periods.
Thought Leadership and Knowledge Development
Actively contribute to internal initiatives, thought leadership, and knowledge management.
Participate in relevant practice areas and sector discussions.
Apply and build subject matter expertise to support team effectiveness and innovation.
Build expertise in a practice area and support the generation of thought leadership (e.g., blogs, papers, events).
AI and Digital Capabilities
Apply advanced data analytics, AI tools, and digital techniques to enhance insight generation.
Mentor others in the use of AI tools and prompting techniques; support project teams to optimize workflows using generative AI.
Demonstrate critical awareness of AI limitations (bias, hallucinations, lack of contextual judgment) and guide appropriate use of these tools in client work.
Maintain fluency in current AI developments (LLMs, machine learning, no-code/low-code tools) and help integrate them into firm practice and project delivery.
Initiative Development
Support the development of new initiatives from idea generation, strategy development, and project implementation.
Develop a budget for the initiative.
Identify partners to collaborate with Axum on the initiative.
Lead coalition building, including stakeholder engagement and convenings, to help drive the initiative.
What We Are Looking For
Skills and Experience:
Completed bachelorâ€™s degree, Master's degree a plus.
3-5 years of experience in management consulting.
3-5 years of experience in international development, public policy, or related field.
3-5 years of work experience working in Africa or the Middle East.
Demonstrated success leading workstreams or small teams within consulting or implementation projects.
Strong understanding of Africaâ€™s socio-political context and experience working in at least one of the firmâ€™s focus geographies.",,,,Unclear,,Other
Business Development Interns at Radiant Group of Hospitals,Radiant Group of Hospitals,"Qualifications:
Bachelorâ€™s Degree in Marketing, Business, or a related field is preferred
Proficient in Microsoft Office
Strong communication & presentation skills
Fast learner with passion for sales and marketing
Ability to be motivated by targets
Previous experience in sales & marketing, product /project management is a plus.",,Strong communication & presentation skills,,Unclear,"Previous experience in sales & marketing, product /project management is a plus.",Business
Part Time & Remote Digital Marketer at Blockchain Coffee Nurseries,Blockchain Coffee Nurseries,"Who Weâ€™re Looking For
Weâ€™re looking for a creative, reliable, and self-directed Digital Marketer to support our online marketing efforts on a part-time basis. Youâ€™ll help strengthen our digital presence through smart, focused campaigns that connect with our audience and support our business goals.
 If you're someone who enjoys experimenting with content, understands the power of data, and knows how to make digital platforms work with you - weâ€™d love to meet you.
What Youâ€™ll Be Doing
Youâ€™ll play a key role in shaping and implementing digital strategies, blending creativity with analytical thinking.
You will:
Develop and execute digital marketing campaigns across various platforms including social media, SEO, Google Ads, and more.
Use tools (including AI where helpful) to help create engaging content.
Collaborate with the team to align marketing messages with business goals and customer needs.
Monitor, analyze, and report on the performance of digital marketing campaigns using relevant tools and platforms. 
Stay on top of trendsâ€”algorithm changes, digital tools, and AI developments â€“ to improve efficiency and impact.
Manage our social media presence, keep conversations active, and engage with the community in a way that builds trust.
Work with the sales team to support lead generation and customer engagement goals.
Manage budgets allocated to digital marketing campaign's, ensuring cost effectiveness and ROI.
Who You Are
You're someone who:
Has practical experience running digital marketing campaigns from start to finish.
Has a solid understanding of digital marketing concepts, strategies and best practices.
Is comfortable using various tools (e.g. analytics, SEO, email marketing, paid advertising tools and more) to support marketing.
Knows how to write content that connects with real people.
Has a good eye for visuals - whether itâ€™s designing a simple graphic or choosing the right image.
Strong analytical skills with the ability to interpret data and generate actionable insights. 
Learns fast and keeps up with industry trends without being overwhelmed by them.
Can communicate clearly and collaborate well with a team.
Self-directed and works well without needing daily check-ins.
Qualifications & Education
2+ years of experience in a digital marketing role.
Strong portfolio of digital campaigns, content, or analytics reports.
Degree in Marketing, Communications, or a related field is preferred",Qualifications & Education,Strong analytical skills with the ability to interpret data and generate actionable insights.,,Unclear,Has practical experience running digital marketing campaigns from start to finish.,Information Technology
Job Openings at Sote Hub,Sote Hub,"Weâ€™re seeking passionate, skilled, and impact-driven professionals to join our growing team in Kenya 
go to method of application Â»",,,,Unclear,,Other
Latest Recruitment at Rhino Ark Kenya Charitable Trust,Rhino Ark Kenya Charitable Trust,"Responsibilities:
Administration & Operations Management
Human Resources & Personnel Support
Financial Administration & Compliance
Procurement & Contract Management
Communication & Reporting
Experience
Proven experience in administrative management or a similar role, ideally in a project-based environment.
Experience in financial management and procurement.
Familiarity with compliance and reporting requirements for donor-funded projects.
Prior experience working with conservation or environmental projects is an added advantage.
Experience in managing logistics, HR functions, and office management.
Qualifications
A degree in business administration, management, finance, social sciences, or a related field.
A certification or qualification in project management is an advantage.
go to method of application Â»",Qualifications,,,Unclear,Experience,Other
Commis Chef at Sheer Logic,Sheer Logic,"The Commis Chef supports the kitchen brigade by preparing ingredients, maintaining cleanliness, and assisting in cooking under the supervision of more experienced chefs.
Key Responsibilities:
Assist in the preparation and presentation of food items according to recipes and standards.
Follow instructions from senior chefs to ensure efficient food production.
Maintain cleanliness and organization of the kitchen, including workstations, tools, and storage areas.
Ensure all food preparation and handling meets hygiene and safety standards.
Support in receiving and properly storing kitchen supplies and ingredients.
Minimize waste through proper portion control and usage of ingredients.
Adhere to all company policies and procedures, including health and safety regulations.
Assist with stock rotation and inventory checks as needed.
Contribute to a positive team environment with effective communication and teamwork.
Qualifications
Certificate or Diploma in Culinary Arts or a related field is an added advantage.
1â€“2 years of experience in a professional kitchen.
Basic knowledge of kitchen equipment and culinary techniques.
Willingness to learn and take direction from senior kitchen staff.
Ability to work in a fast-paced and high-pressure environment.
Strong sense of hygiene and attention to detail.",Qualifications,,,Unclear,"The Commis Chef supports the kitchen brigade by preparing ingredients, maintaining cleanliness, and assisting in cooking under the supervision of more experienced chefs.",Hospitality & Tourism
Chief Accountant at Mediamax Network Limited,Mediamax Network Limited,"Mediamax Network is seeking a dynamic and experienced Chief Accountant to lead its financial operations. This role is pivotal in aligning financial strategies with the overall business direction, ensuring financial stability, and driving informed decision-making.
Their key responsibilities include:
Align finance strategy with the overall business direction
Lead budgeting and capital investment evaluation processes
Oversee cash flow, working capital, treasury, and debt management
Provide performance insights, brand profitability & ROI analysis
Maintain financial controls, compliance & risk frameworks
Guide procurement processes and vendor relations
Deliver timely financial reports for decision-making
Build business improvement cases through financial modelling
Supervise a multi-disciplinary finance team
Qualifications
10+ yearsâ€™ experience in financial management
CPA (K) qualification preferred
Strong leadership & commercial acumen
Experience in high-capital investment environments
Familiarity with tools like SAP, SAGE, or similar
Proven track record in media/service sectors is a plus",Qualifications,,,Unclear,"Mediamax Network is seeking a dynamic and experienced Chief Accountant to lead its financial operations. This role is pivotal in aligning financial strategies with the overall business direction, ensuring financial stability, and driving informed decision-making.",Information Technology
Accountant at Alliance FranÃ§aise Nairobi,Alliance FranÃ§aise Nairobi,"Responsibilities:
Preparation of invoices, debit notes, schedule of payments when required.
Verification of payments to suppliers/service providers
Dispatching collection schedules and debtorsâ€™ statements on a timely manner to various departments Classes, Cultural & Translation/Interpretation
Preparation of monthly bank reconciliations for all accounts (Local & International)
Daily liaising with the courses department for data reconciliations and posting in the accounting package (SAGE ACCPAC).
Daily reconciliation of bank deposit slips against collections.
Receipting payments from clients and confirming M-pesa entries from the system.
Daily transfer of M-pesa amounts to the student bank collection account.
Preparation of schedules for private classesâ€™ hours covered and payments made on a monthly basis
Management and reconciliation of all registration daily cash receipts and preparations of accounts to facilitate budget/actualization comparisons.
Management and reconciliation of institutional credit card transactions, including ensuring proper documentation, monthly reconciliation of credit card statements, timely settlement of balances, and adherence to internal spending policies.
Management of daily cash sales/expenditures for both Alliance FranÃ§aise Nairobi and Eldoret.
Management of other accounts (i.e. Campus France, Sciences Po,Eunic, etcâ€¦)
Assist in sourcing of quotations from service providers.
Assist in the ordering of supplies, stationery/cleaning materials on an ad hoc basis
Assist in annual audit preparation.
Assist in the preparation of financial statements, reports, and disclosures in accordance with accounting principles, regulatory requirements, and internal policies.
Liaise with external auditors, tax authorities, and regulatory agencies to ensure compliance with financial reporting and tax obligations. Stay updated with regulatory changes affecting the financial operations and performance.
Assist in the maintenance of effective internal controls, policies, and procedures to safeguard assets (asset management), mitigate risks, and ensure integrity and accuracy in  financial reporting and operations.
Assist in assessing and managing financial risks, including currency exchange risk, interest rate risk, and market risk, and implement strategies to mitigate and manage these risks effectively.
Assist in following up with bank matters to ensure smooth operations.
Performing any other accounting-related duties as may be assigned by the Head of Department
Deputizing the Head of Department
Requirements:
Knowledge of financial principles, accounting standards, taxation, and regulatory requirements applicable to the organization's industry and geographic location.
Strong analytical and problem-solving skills, with the ability to analyse complex financial data, identify trends and insights, and develop actionable recommendations.
Ability to work independently and collaboratively in a team environment.
Excellent communication and interpersonal skills, with the ability to articulate financial concepts and insights effectively.
Proficiency in financial analysis tools, modelling techniques, and enterprise resource planning (ERP) systems, such as Sage, SAP, Oracle, or Microsoft Dynamics.
Commitment to integrity and ethical conduct.
Qualifications:
Bachelorâ€™s degree in Accounting, Finance
Professional certification, such as Certified Public Accountant (CPA), or Association of Chartered Certified Accountants (ACCA) is required
Member of ICPAK
Knowledge of French Language at B1 level minimum preferred
Salary Grade: Category 3 (106,065 kes)",,"Strong analytical and problem-solving skills, with the ability to analyse complex financial data, identify trends and insights, and develop actionable recommendations.","Knowledge of financial principles, accounting standards, taxation, and regulatory requirements applicable to the organization's industry and geographic location.",Unclear,,Information Technology
Internal Auditor at International Organization for Migration (IOM),International Organization for Migration (IOM),"Responsibilities
Conduct audits across the organization either by him/herself or as part of a team.
Prepare and participate in preparations for risk-based audit plans and programmes in accordance with IOM standards.
Document, evaluate and test systems and controls to determine their adequacy and effectiveness to ensure:
compliance with policies and procedures;
accomplishment of managementâ€™s objectives;
reliability and integrity of information;
economic use of resources; and,
safeguarding of assets.
Prepare working papers for review by the Auditor in charge or the Head of Internal Audit.
Develop and discuss findings; come to agreement on recommendations and timelines for corrective actions with responsible officers of audited operations and monitor the implementation status of agreed recommendations.
Prepare audit reports for the entire assignment or portion of assignment.
Identify appropriate audit tools, best practices and identify/perform duties and responsibilities aimed at ensuring that the audit/assignments are conducted in accordance with IIA standards.
Perform such other duties as may be assigned.
Qualifications
Education
Masterâ€™s degree from an accredited academic institution, in business administration, accounting, finance, audit or a related field from an accredited academic institution with two years of relevant professional experience; or,
University degree in the above fields with four years of relevant professional experience.
Professional certification from a recognized accreditation body such as (Certified Internal Auditor (CIA), Certified Public Accountant (CPA), Association of Chartered and Certified Accountants (ACCA) is desirable.
Experience
Experience in audit,finance, accounting or a combination thereof.",Qualifications,,,Unclear,"Masterâ€™s degree from an accredited academic institution, in business administration, accounting, finance, audit or a related field from an accredited academic institution with two years of relevant professional experience; or,",Finance & Accounting
Country Manager at Google,Google,"Minimum qualifications:
15 years of experience in advertising sales, digital marketing, consulting, or media.
Experience with C-level customer relationships and connectivity in the Kenyan market, including within media, business and government channels.
Experience growing and leading teams and businesses within an organization.
Experience with commercial deals and negotiation.
Preferred qualifications:
Strong relationships within the advertising, technology and startup sectors.
Analytical acumen and thought leadership, paired with agile mindset and can-do attitude.
Demonstrated track record of cross-functional leadership.
Responsibilities
Lead sales and commercial operations to deliver revenue growth objectives, with a focus on large advertisers and agency partners. Build key external relationships to open up key business opportunities.
Direct management of the Large Customer Sales (LCS) organization, all based in Kenya. Partner closely with many of the worldâ€™s biggest advertisers and agencies to develop digital solutions that build strong businesses and brands. 
Set up business plans, sales strategy, and take ownership of driving Googleâ€™s activities working in collaboration with expert functions and product leaders.
Be the internal face for Google in Kenya and external advocate for Google across Kenya. Represent Google in the market beyond business relationships and represent Kenya to Google. 
Provide cross-functional leadership, bringing teams together around an integrated plan for Googleâ€™s success in the market.",,,,Unclear,"15 years of experience in advertising sales, digital marketing, consulting, or media.",Business
Territory Managers at Unilever,Unilever,"WHAT WILL YOUR MAIN RESPONSIBILITIES BE
Determine infrastructural requirement of a distributor for a particular territory including working capital required.
Determine and prepare distributor sales and KPI targets using the Joint Business Plan toolkit.
Ensure that working capital is effectively managed by constantly monitoring stocks, debtors and cash positions to meet the right norms.
Build excellent relationships at KD and at POP level   
Set up the distributor team by recruiting the right skills, right numbers and training through field coaching to deliver assigned targets.
Set targets for all distributor team and review performance constantly through market floor meetings to ensure target achievement.
Ensure that KD is profitable by using the ROI toolkit to monitor income and expenditure and report on monthly actions to improve.
Ensure weekly submission of KD extracts used in raising orders for the KDs
Prepare beat plans for KD sales team to ensure effective & efficient coverage of assigned territory with all product categories
Prospects, negotiates and initiates local actions in line with company policies
Ensure the availability of the right product assortment at the right channel at the right price.
Ensure achievement of the Field capability score by meeting targets for coverage, lines per call and bill productivity
Building capability of distributor sales team through full day sales accompaniment and field coaching.
Submission of weekly and monthly reports â€“ weekly sales report, ROI and profitability report, working capital analysis report and safety reports.
Experiences & Qualifications
At least 3 years Sales experience with minimum 2 years in FMCG environment
Bachelorâ€™s degree in business management or economics
Strong excel skills & analytical skills
Skills
Customer management and selling essentials Â·
Point of purchase execution and monitoring skills Â·
Development of sales infrastructures and Organisation Â·
Development of Customer/ Channel Investment Strategy Â·
Developing Customer Relationships Â·
Team management and Strong organization capacity
Retailer Understanding
go to method of application Â»",Experiences & Qualifications,"Set up the distributor team by recruiting the right skills, right numbers and training through field coaching to deliver assigned targets.",,Unclear,Experiences & Qualifications,Business
Regional Clinical Trials Submission Manager at Pfizer,Pfizer,"The Clinical Trial Submission Manager (CT-SM) is accountable for working with contributing business lines to lead submissions execution timelines for designated CTAs. They may operate as regulatory Subject Matter Expert for a CTA and drive submission teams towards the timely delivery of globally compliant submission-ready components. The CT-SM is required to author & deliver customized documentation for selected submissions across multiple markets, which may include Radiology form, Bio-bank Submissions & IVDR compliant content.
Drives Regional submission management activities for their assigned protocols. Partners with global Submission and Portfolio Manager, GSSO lines and/or third-party partners, with responsibility for representation and management of required regulatory and Central Ethics activities, standards and deliverables associated with CTA submission development and execution for designated assets and/or geographies.
Support and leads Regional and global efforts to ensure high quality components and submissions that are compliant with industry, agency and format guidelines, regulatory strategies, policies, and timelines.
Liaises with GSSO, regarding essential documents that cross both HA and EC submission and translation processes driving compliance and timely delivery,
Prepare, review and submit submissions to HA/Regional CTA, in order to obtain all necessary authorizations/approvals pertaining to the clinical trial conduct.
Responsible for the co-ordination of translations for local documents required for submission.
Manages the compilation for submission build, contributing to CTA & CE approvals and authoring documentation as required.
Acts as Subject Matter Expert for CTRSE and provides country-level intelligence on clinical trial regulatory (CTR). Ensures that local country regulatory intelligence, as it pertains to the activities of the CTR team, is maintained on the central repository, e.g. Competent Authority submission requirements.
Coordinates submission production and assists with definition, development, and implementation of regional submissions policies and technologies to meet evolving business needs.
Escalates, informs and resolves any issues that may impact submission builds or the logistics of global submission delivery to regional and local partners or Health Authorities.
Serves as a major source of innovative ideas seeking and developing efficiencies and effectiveness within the process by collaboration with key customer and supplier groups and business partners.
Promotes professional development through mentoring and motivating colleagues.
Promotes the use of Document Management and Archival systems and standard document authoring, partnering with supplier groups as necessary in order to produce timely delivery of submission/archive ready components.
Functions as a change agent that can exhibit regulatory knowledge and awareness, technical competence, sound judgment, and a professional demeanor.
Operates as a single BU Liaison point of contact for Regional Regulatory Leads and designated CTAs.
Leads the interpretation of dossier requirements to produce business processes and ensure that those processes are implemented where appropriate at global and local level.
Manages own time to meet objectives; forecasts and plans projects across multiple markets
Provides guidance to and leads CTA submissions and process improvement projects, making decisions independently.
Considered a technical resource within the group.",,,,Unclear,,Business
Jobs at Old Mutual Kenya,Old Mutual Kenya,"Responsibilities
Data Collection and Analysis
Conduct research using primary data sources, and select information needed for the analysis of key themes and trends.
Information and Business Advice
Provide specialist advice on the interpretation and application of policies and procedures, resolving queries and issues and referring very complex or contentious issues to others.
Document Preparation
Edit document in line with organizational style guidelines and prepare information for publication.
Insights and Reporting
Prepare and coordinate the completion of various data and analytics reports.
Customer Relationship Management / Account Management
Develop and implement a relationship management plan for existing customer accounts to identify and build relationships with relevant decision-makers and influencers within the customer organization and to enable effective two-way flow of information and resolution of issues.
Collect feedback from identified customers or customer segments to ensure their needs are met, providing themes, summary analyses, and recommendations for changes based on customer input.
Financial Advice
Handle the financial advice process within a specific client segment, ensuring alignment with their goals and values.
Sales
Sell simple products and services directly to customers while following standard protocols. May also involve providing back-office support to a sales team.
Operational Compliance
Maintain and renew a deep knowledge and understanding of the organization's policies and procedures and of relevant regulatory codes and codes of conduct, and ensure own work adheres to required standards. Or identify, within the team, patterns of noncompliance with the organization's policies and procedures and with relevant regulatory codes and codes of conduct, taking appropriate action to report and resolve these and escalating issues as appropriate.
Education
NQF Level 5 - Higher, Advance or Occupational Certificate or equivalent
go to method of application Â»",,,,Unclear,,Other
Vacancies at Marriott,Marriott,"JOB SUMMARY
Supports the day-to-day operations of accounts receivables, ensuring that invoices being sent out are correct and dispersed in a timely manner. 
Prepare, review, reconcile, and issue bills, invoices, and account statements according to company procedures. Follow-up and resolve past due accounts and customer invoices until payment in full is received or resolved.
Reconciliation of Credit Card receivables against merchant statements and ensuring all credit card receivables are correct and applied per Opera credit card transaction records.
CANDIDATE PROFILE 
Education and Experience
Bachelor's degree in Finance and Accounting or related major.
Relevant work experience in similar role.
Studies in progress for Accounting and/or Tax qualification (CPA, ACCA or equivalent).
CORE WORK ACTIVITIES
Assisting in Managing Work, Projects, and Policies
Generates and provides accurate and timely results in the form of reports, presentations, etc.
Compiles, codes, categorizes, calculates, tabulates, audits, or verifies information or data.
Record, store, and/or analyze information using property software.
Maintain accurate electronic spreadsheets for financial and accounting data.
Access computerized financial information to answer general questions as well as those related to specific accounts
Completes accounts receivable period end closing functions and procedures, credit and period end reporting.
Upholds the policies and procedures outlined in the credit policy.
Compliance with all Marriott internal controls policies relating to Accounts Receivable.
Demonstrating and Applying Accounting Knowledge to Credit Management Issues
Demonstrates knowledge of job-relevant issues, accounting standards and procedures, systems, and processes.
Keeps up-to-date technically and applying new knowledge to your job.
Stays knowledgeable of accounts receivable system.
Interacts with sales and catering staff for timely credit decisions on incoming customers.
Maintaining Finance and Accounting Goals
Submits reports in a timely manner, ensuring delivery deadlines.
Ensures profits and losses are documented accurately.
Achieves and exceeds goals including performance goals, budget goals, team goals, etc.
Develops specific goals and plans to prioritize, organize, and accomplish your work.
Monitors all taxes that apply, ensuring that taxes are current, collected and/or accrued.
Ensures property billings are sent error free and in a timely manner.
Monitors receivables for timely collections and follows up with appropriate collection correspondence.
Posting and applying customer payments in Opera PMS.
Posting and applying of credit card receivables, follow up on reconciling entries.
Managing the Accounts Receivable ledger in line with company credit policy.
Follow up and processing of Guest refunds.
Additional Responsibilities 
Provides information to supervisors and co-workers by telephone, in written form, e-mail, or in person.
Provide direction and assistance to other organizational units regarding accounting and credit policies and procedures, and efficient control and utilization of financial resources.
Analyzes information and evaluating results to choose the best solution and solve problems.
Informs and/or updating the executives, the peers and the subordinates on relevant information in a timely manner.
Maintains positive working relations with customers, co-workers and department managers
Ensure all active AR accounts are supported by approved credit applications and all facilities are reviewed annually. 
Organize, secure, and maintain all files and records in accordance with document retention and confidentiality policies and procedures.
go to method of application Â»","Studies in progress for Accounting and/or Tax qualification (CPA, ACCA or equivalent).",,,Unclear,Education and Experience,Other
Ongoing Recruitment at AAR Healthcare Kenya,AAR Healthcare Kenya,"Overall purpose of the job:
Reporting to the Health Centre Manager, the Pharmaceutical Technologist reviews prescriptions and accurately dispenses medication to achieve effective treatment for patients.
Key responsibilities:
Prescription validation,verification and dispensing
Management of pharmacy inventory
Preparation of quality reports as may be required by internal and external customers
Ensure compliance with internal and external regulations guiding the pharmacy profession
Position Requirements
Diploma in Pharmacy from a recognized institution
Must have a valid practising license from the Pharmacy & Poisons Board
At least 2 years of appropriate experience in pharmaceutical operations
ICT competency
Excellent customer service
Self motivated and a team player
Pleasant personality
go to method of application Â»",,,,Unclear,At least 2 years of appropriate experience in pharmaceutical operations,Healthcare & Medical
