Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Legal Officer (Fixed Term Contract) - First Assurance Kenya at Absa Bank Limited,Absa Bank Limited,"Job Summary
The Legal Officer will serve as a legal adviser to First Assurance and will report to the Legal Manager. Responsible for offering legal counsel, liaising with external advocates and insured persons, negotiations to ensure settlement of third-party claims, and recovery on behalf of the company.
Job Description
Litigation Management
Receiving summons and determining whether liability attaches on the part of the Company.
Appointment of service providers to handle company matters as per policy and maintenance of a register for such appointments.
Reviewing legal claims lodged against our insured’s and engaging third parties in out-of-court negotiations in line with past precedents and set parameters. Always ensuring that adequate reserves are maintained.
Instructions to external lawyers on how the cases are to be handled.
Reviewing correspondence and opinions from external lawyers and advising management.
Engage in pre-trial briefings & in conjunction with external lawyers prepare witnesses for court attendance.
Responding to advocates correspondence and ensuring up to date information is in each file.
Reviewing judgments and recommending settlement or appeals. Making sure that adequate reserves are maintained.
Receiving summons to enter appearance and plaint from our insured’s and distributing the same to our panel of external advocates.
Negotiating matters out of court and keeping registers of such matters.
Periodically review legal files to ensure accurate reserves are maintained and to ensure the files are up to date.
Handling the Company’s recoveries from third parties and other insurance companies by instituting suits or out of Court negotiations and follow up thereof.
Ensuring payments are raised in good time, authorized, and forwarded to Finance Department. Follow up on judgment payments to avoid executions.
Pursue Third Party recoveries for the Company.
Distributing the work coming into the claims legal department ensuring that all mails are actioned.
Approving all discharge vouchers and judgments as per the approval limits
Reviewing the external advocates fees to ensure that the fee notes are raised as per remuneration order.
Providing legal advice, opinion and assistance on all legal claims matters to the management.
Attending court hearing on behalf of the organization as and when required.
Ensure Status Reports from service providers are received as per the guidelines.
Prepare monthly reports and any other report that may be requested
Operations
Ensure maintenance of documentation and legal databases.
Ensure biannual review of all outstanding liability claims.
Education and Experience Required
Bachelor of Laws degree (LLB) from a recognized institution.
Must be an Advocate of the High Court of Kenya with a valid and current practicing certificate.
A registered member of the Law Society of Kenya in good standing.
At least 1-2 years’ experience legal practice in Insurance/financial institution with experience in Commercial Law, Litigation and Conveyance ·
Education
Higher Diplomas: Law, Military Science and Security (Required)",,,,Unclear,Education and Experience Required,Legal & Compliance
Vocational Training Instructor/ECDE Teachers at Meru County Public Service Board,Meru County Public Service Board,"Duties and Responsibilities.
Duties at this level will involve:
Theoretical and practical instruction in the area of specialization.
Preparing and maintaining schemes of work, lesson plans, lesson notes, trainee records.
Teaching and learning materials, carrying out trainee assessment;
Ensuring proper care and maintenance of tools and equipment.
Conducting co-curricular activities, maintaining trainers’ discipline and guiding and counselling trainees
Requirements for appointment
For appointment to this grade, a candidate must have: -
 A diploma in the relevant course in the vacancy declared below from a recognized institution in Kenya.
 Certificate in computer applications from a recognized institution in kenya
go to method of application »",,,,Unclear,,Information Technology
Value Chain Strategy Lead (Fixed-Term) at One Acre Fund,One Acre Fund,"Responsibilities
Value Chain Analysis
Analyze our active market access businesses to drive shared understanding of performance and investment conviction across departments.
Lead diligence on new market access businesses that can create significant demand for farmers' crops, opportunities for women and youth in program countries, and contribute to One Acre Fund's financial sustainability.
Support financial analysis, including our budgeting cycle and investment cases for CapEx.
Socialize recommendations with key stakeholders across the organization.
Value Chain Development
Own a new market access pilot from end-to-end: diligence, design, and delivery in collaboration with country programs. Ensure these activities are aligned with the interests of smallholder farmers and youth and women in particular.
Support country programs in their value chain development learning on operations, quality/technical management, and unit economics.
Develop external expert networks to support market intelligence and strengthen execution on sales and market development.
Special Projects
Contribute your analytical and entrepreneurial talents to critical projects in other market access businesses as needed.
Career Growth and Development
We have a strong culture of constant learning and we invest in developing our people. You’ll have weekly check-ins with your manager, access to mentorship and training programs, and regular feedback on your performance. We hold career reviews every six months, and set aside time to discuss your aspirations and career goals. You’ll have the opportunity to shape a growing organization and build a rewarding long-term career.
Qualifications
Across all roles, these are the general qualifications we look for. For this role specifically, you will have:
Entrepreneurial appetite and horsepower: you can learn new chains rapidly, navigate ambiguity, and balance multiple priorities.
Excellent analytical skills: you can build and evaluate decision-grade financial models (especially P&Ls); you can use data coupled with sound business judgment to influence business decisions.
Excellent interpersonal skills & stakeholder management: proficient at understanding teams' and leaders' priorities as well as exercising indirect influence to align stakeholders.
Project management & organizational skills.",Qualifications,you can build and evaluate decision-grade financial models (especially P&Ls); you can use data coupled with sound business judgment to influence business decisions.,,Unclear,,Information Technology
Sales Executive at MyCredit Limited,MyCredit Limited,"This is a full-time on-site Sales Executive role located in Ruiru. The Sales Executive will be responsible for developing and maintaining strong client relationships, identifying and pursuing new sales opportunities, meeting sales targets, and presenting tailored financial solutions to clients. Daily activities include conducting client meetings, preparing and delivering sales presentations, maintaining a client database, and collaborating with the sales team. The role requires a proactive approach to understanding client needs and offering effective solutions.
Qualifications
Strong communication, negotiation, and interpersonal skills
Sales experience and proficiency in customer relationship management
Strategic planning, goal setting, and skills in identifying business opportunities
Problem-solving skills and a results-driven mindset
Ability to work independently and in a team environment
Proficiency in using sales and CRM software
Proven track record of meeting or exceeding sales targets
Experience in the financial services or credit industry is an advantage",Qualifications,"Strong communication, negotiation, and interpersonal skills",,Unclear,Sales experience and proficiency in customer relationship management,Marketing & Sales
Vacancies at Jalaram Hospital - Saint Christopher Specialized Cure Hospital,Jalaram Hospital - Saint Christopher Specialized Cure Hospital,"We are expanding, and we’re looking for passionate professionals to join us in this field.
go to method of application »",,,,Unclear,,Information Technology
2026 Mentorship & Internship Programme at ICON Data and Learning Labs (IDL),ICON Data and Learning Labs (IDL),"Successful candidates will collaborate with IDL’s programme and technical teams, accelerate market-ready skills, and embed themselves in a growing community of emerging African data leaders.
go to method of application »",,"Successful candidates will collaborate with IDL’s programme and technical teams, accelerate market-ready skills, and embed themselves in a growing community of emerging African data leaders.",,Unclear,,Information Technology
Sales & Marketing Officer at Adept Systems,Adept Systems,"Key Responsibilities
Recruit new members in line with monthly acquisition targets.
Drive deposit growth from new and existing members.
Mobilise loan sales and promote uptake of available credit products.
Reactivate dormant member accounts through proactive engagement and follow-up.
Conduct corporate visits, outreach sessions, and member engagement forums.
Support planning and execution of Sacco events, member education days, product launches, and exhibitions.
Support brand awareness initiatives to strengthen the Sacco’s market presence.
Assist in creating and disseminating marketing content, including digital and print materials.
Conduct market research and member satisfaction surveys to inform product and service improvements.
Facilitate continuous member education programs on Sacco products, policies, and benefits.
Provide excellent customer service through timely communication, support, query resolution, and member follow-up.
Maintain positive relationships with existing members and stakeholders.
Provide administrative support to marketing activities, including documentation, reporting, and database updates.
Prepare periodic performance reports, competitor insights, and campaign evaluations.
Uphold the Sacco’s regulations, SASRA guidelines, and the Cooperative Societies Act.
Key Professional Experience and Educational Background Required
Bachelor’s degree in marketing or related field.
At least 2 years of experience in a similar role (financial services experience is an added advantage).",,,,Unclear,Key Professional Experience and Educational Background Required,Information Technology
Accounts Assistant at Safari Park Hotel,Safari Park Hotel,"Key Responsibilities:
Review and disbursement of authorized petty cash requests.
Replenishment of petty cash.
Update member accounts daily.
Process accounting documents such as invoices, staff interests, and investment disbursements.
Initiate authorization and payment of accounting documents.
Prepare and submission of with-holding tax and with-holding VAT to KRA before deadlines. Preparation of with-holding VAT certificates.
Prepare and submit statutory deductions to the specific authorities.
Assist in Review, coding, and filing of financial records.
Cash withdrawals, the collection of cheque books and bank statements and any other duties.
Carry out the formulation, preparation, and monitoring of the company’s budgets
performance reports and cash flows.
Ensure compliance with statutory requirements, policies, strategies, procedures, and standards of the company.
Prepare cash books and monthly bank reconciliation statements
Prepare financial reports to management
Carry out any other relevant duty as assigned by your immediate supervisor.
Job Specifications
Degree/Diploma in Finance/Accounting.
Minimum CPA Section IV or equivalent
Must be conversant with QuickBooks and Sage Accounting package
Previous relevant work experience required.
At least 2 -3 years of experience.
IT proficiency.
Analytical skills.
Knowledge of principles and standard practices of accounting.
Knowledge of budget preparation and control process",,Analytical skills.,,Unclear,Previous relevant work experience required.,Administration & Support
Current Recruitments at Africa Nazarene University (ANU),Africa Nazarene University (ANU),"Key duties and responsibilities:
Contribute to the development, planning, and implementation of a high-quality curriculum.
Review curriculum and course outlines and develop course and lesson plans.
Prepare contact learning and online course materials and teaching aids.
Employ various teaching methods (such as field studies, group activities, assignments, laboratory sessions, off class activities etc.) to help student learning and deliver course content.
Develop learning assessment plans.
Supervise and guide undergraduate students, graduate students, internship, and research work.
Participate in departmental research and conduct research in specialist areas, publishing findings in professional journals, books, or electronic media and participate in grant writing and collaborations.
Advising students on academic, career, and any other related issues when required.
Attending conferences, workshops and seminars, industrial linkages, and market outreach visits or related when required.
Participate in departmental administrative and field operations and programs.
Professor:
At least three (3) years of teaching experience at the university level as an Associate Professor.
A minimum of sixty (60) publication points as an Associate Professor or equivalent, of which at least forty (40) should be from refereed scholarly journals.
National, Regional, and international recognition for research.
Supervised at least five (5) postgraduate students to completion, including at least two (2) doctoral students.
Attracted research funds as an Associate Professor or equivalent.
go to method of application »",,,,Unclear,At least three (3) years of teaching experience at the university level as an Associate Professor.,Human Resources
Social and Tax Justice Campaigner at Greenpeace,Greenpeace,"Main duties 
Strategic planning
Participate in and contribute to the proposals and assessments of the Greenpeace Africa program strategy.
Contribute to the strategy development and implementation plans for the Fair Share project.
Assist in strategically developing the campaign’s social, economic, political, legislative, and business components to ensure that Greenpeace can respond effectively to strategic opportunities and influence the development of relevant national and international policies, legislation, and practices.
Coordinate with other NROs to ensure progressive tax and redistribution issues reflect all NRO context realities. 
Strategy and Plan Implementation  
Coordinate and work with the Project Co-Leads to develop and implement  the project plans.
Work with the Fundraising team to develop ways to maximize the campaign’s fundraising potential.
Represent Greenpeace at meetings, coordination bodies, media, stakeholders, and local communities when required.
In collaboration with the Communications team, communicate with target audiences and ensure that any media intervention aims to achieve campaign objectives.
Create or delegate the creation of substantive briefings and updates to inform staff, media, and stakeholders on specific campaign issues, progress, and outcomes.
Working with the Co-leads, support the monitoring, reporting and evaluation processes for the Fair Share Project.
Collaborate with the Research function to mine data & insights to inform the design of responses.
Contribute to the network’s learning on Fair Share. 
Responsiveness
Take a Global outlook to project delivery by optimizing responsive opportunities that advance campaign/project objectives across the GPI network.
Leverage responsive opportunities aligned to campaign goals to create impact.
Relationship building and networking
Build relationships with external stakeholders, including civil society, communities, and authorities, to push the campaign forward.
Active networks are built and maintained with GPI and NROs to strengthen the campaign’s impact (s).
Externally, active networks and strong alliances are built with key strategic stakeholders.
Qualifications and Experience 
University degree in Economics, Social Sciences, Policy, Development, or related field.
5 years experience in campaign management and coordination.
Experience working in an international, multicultural team.
A strong Pan-African Mindset.
A strong understanding of progressive taxation, revenue redistribution, and rebalancing socio-economic inequalities. 
Familiarity with the project management cycle. 
Ability to negotiate, build consensus, convene diverse stakeholders, and facilitate dialogue to mutual outcomes.
Knowledge and/or experience in campaigning, creative advocacy content, execution of strategies, lobbying, and canvassing projects.",Qualifications and Experience,,,Unclear,Qualifications and Experience,Information Technology
Digital Content Creator at Razco Foods,Razco Foods,"What You'll Do (Key Responsibilities):
Create & Publish: Develop and post shortform videos, Reels, Stories, and graphics for TikTok, Instagram, and Facebook.
Manage Content: Maintain and manage content calendars across all brand pages.
MobileFirst Editing: Shoot and edit content using tools like CapCut, InShot, and Canva.
Trend Spotting: Identify and adapt to relevant social media trends to keep our content fresh.
Community Building: Actively engage with our followers by replying to comments and DMs to foster strong communities.
Event Coverage: Provide live coverage during key events and brand activations.
Analyze & Optimize: Track performance metrics (reach, engagement, growth) and provide recommendations for improvement.
What You'll Bring (Requirements):
Proven experience creating highperforming TikTok and Instagram Reels content.
Strong understanding of social media culture and current trends.
Proficiency in basic editing and design tools (CapCut, Canva, or similar).
Ability to adapt content style for multiple brand voices.
Comfortable filming and occasionally appearing in content.
Selfdriven, proactive, and ready for a fastpaced environment.",,,,Unclear,Proven experience creating highperforming TikTok and Instagram Reels content.,Marketing & Sales
Mobile Phlebotomist / Rider at AdPath Laboratories,AdPath Laboratories,"Location: Adpath Laboratories - Machakos & Surrounding Areas
About the Role
We are recruiting a skilled and reliable Mobile Phlebotomist Rider to support service delivery.
Key Responsibilities
Handle transport logistics at Adpath
Support community outreach programs
Requirements
Certificate/Diploma in any medical field 
MUST have previous phlebotomy experience
MUST have a valid motorcycle riding license",,,Adpath Laboratories - Machakos & Surrounding Areas,Unclear,MUST have previous phlebotomy experience,Finance & Accounting
Workshop Floor Manager at Atarah Solutions,Atarah Solutions,"Our client in the woodwork industry is seeking to recruit a competent and hands-on Workshop Floor Manager to join their production team in Maragua. The successful candidate will oversee workshop operations, ensuring daily output, discipline, and quality standards are consistently met.
KEY RESPONSIBILITIES:
Lead daily planning sessions and allocate tasks to artisans and teams.
Break down weekly production schedules into clear daily deliverables.
Monitor progress of all jobs, ensuring timelines, tools, and materials are in place.
Enforce workshop discipline, punctuality, and adherence to SOPs.
Inspect raw materials and finished products for quality.
Coordinate closely with the Sales & Project team to align on deadlines and client expectations.
Train and motivate artisans to improve both speed and quality of work.
Ensure cleanliness and adherence to safety standards.
REQUIREMENTS:
Proven experience in supervising a workshop or production floor (woodwork or manufacturing).
Strong leadership skills with the ability to hold teams accountable fairly and firmly.
Hands-on and highly visible on the floor.
Structured, disciplined, and able to thrive in a fast-paced environment.
Competent in reporting tools (Odoo/Excel/updates and checklists).
Proactive problem solver.",,Strong leadership skills with the ability to hold teams accountable fairly and firmly.,,Unclear,Proven experience in supervising a workshop or production floor (woodwork or manufacturing).,Business
Sales Intern at AdPath Laboratories,AdPath Laboratories,"Location: Adpath Laboratories – Machakos, Othaya (Nyeri)
Engagement: 3 Months Contract Internship
About the Role
Adpath Laboratories is seeking two energetic and self-driven Sales Interns to support our outreach and customer engagement activities. This is an excellent opportunity for young professionals who want to grow their skills in healthcare sales and build a rewarding career.
Key Responsibilities
Conduct daily field outreaches
Support laboratory engagement activities
Promote Adpath services and ensure brand visibility
Requirements
Diploma/Degree in Sales or related field
Strong communication and interpersonal skills
Highly proactive, confident, and well-organized
Comfortable with field work
Basic understanding of healthcare will be an added advantage
Ability to meet targets and work with minimal supervision
Please note: This position offers an opportunity for renewal based on performance and ability to meet set targets.",,Adpath Laboratories is seeking two energetic and self-driven Sales Interns to support our outreach and customer engagement activities. This is an excellent opportunity for young professionals who want to grow their skills in healthcare sales and build a rewarding career.,"Adpath Laboratories – Machakos, Othaya (Nyeri)",Unclear,,Marketing & Sales
Senior Global Payroll Operations Manager at CloudFactory,CloudFactory,"Key Responsibilities
Payroll & Pay Execution (Primary Focus)
Lead the end-to-end global payroll operations, including governance, timelines, controls, validation, and issue resolution across multiple countries and employment models.
Act as the single point of accountability for payroll accuracy, timeliness, and compliance.
Partner with external payroll vendors and internal Finance and Tech teams to ensure seamless execution and continuous improvement.
Identify, investigate, and resolve payroll discrepancies, root causes, and systemic issues.
Drive standardization and documentation of payroll processes, controls, and escalation paths.
Strategic Data & Insight Stewardship
Elevate payroll to strategic insights by transforming raw payroll data into executive-ready insights, proactively identifying cost drivers, operational risks, and opportunities for global process optimization and efficiency gains through automation.
Establish data governance by designing and owning the strategic roadmap for payroll data integrity, reporting, and analytics, partnering with Finance to ensure seamless reconciliation, variance analysis, and accurate financial forecasting.
Develop and maintain a suite of clear, reliable metrics and executive dashboards that provide senior leadership with the foresight needed to make informed decisions regarding global workforce cost and operational performance.
Executive Influence & Cross-Functional Governance
Act as the primary strategic partner to Technology, Finance, Delivery, and Talent leadership, championing the design and control of reliable, scalable payroll systems, integrations, and data flows.
Provide trusted, expert guidance to senior leaders on global payroll complexity, regulatory trade-offs, and risk mitigation strategies related to workforce changes,
Govern cross-functional processes with Finance (funding, accounting, audits) and Technology (system integrity) to ensure operational rigor and maintain a highly controlled, compliant, and scalable global pay ecosystem.
Compliance, Risk & Controls
Ensure payroll compliance with local labor laws, tax regulations, and statutory requirements across geographies.
Establish and maintain strong internal controls, documentation, and audit readiness.
Proactively identify payroll risks related to growth, change, or system implementation and lead mitigation efforts.
Benefits (Light Touch / Governance)
Provide governance oversight to ensure benefit-related payroll deductions and contributions are accurately executed.
Partner with benefits owners or vendors where payroll integration or execution issues arise.
Ensure benefits impacts are correctly reflected in payroll systems, without owning full benefits strategy.
What Success Looks Like
Payroll is delivered accurately, on time, and with minimal exceptions, even in complex global environments.
Pay changes are executed flawlessly and consistently.
Leaders trust payroll data and insights to inform decisions.
Risks are anticipated and resolved proactively.
Payroll complexity is simplified through strong governance, automation, and cross-functional alignment.
Our thousands of CW's feel good about the process, communication and their concerns/problems get address timely
Requirements
Proven experience leading and managing mission-critical operational systems and programs, with a track record of delivering accuracy, reliability, and continuous improvement in high-stakes environments.
Deep expertise in global payroll execution across multiple countries, employment models, and regulatory landscapes, including experience navigating complexity at scale.
Demonstrated leadership in cross-functional environments, partnering effectively with Finance, Technology, Legal, Delivery, and People teams to ensure alignment, resolve issues, and drive integrated solutions.
Experience managing external payroll vendors and service partners, including performance oversight, escalation management, and contract or SLA governance.
Strong understanding of payroll compliance, statutory requirements, taxation, and internal controls, with experience building or strengthening governance frameworks.
Advanced proficiency in payroll systems, integrations, and reporting tools, with the ability to leverage data and analytics for insights, decision support, and risk mitigation.
Exceptional communication and business partnering skills, including the ability to influence stakeholders, simplify complex information, and present insights clearly to senior leaders.
History of operating independently in fast-paced, ambiguous contexts, demonstrating sound judgment, action orientation, and accountability for outcomes.",,"Exceptional communication and business partnering skills, including the ability to influence stakeholders, simplify complex information, and present insights clearly to senior leaders.",,Unclear,"Proven experience leading and managing mission-critical operational systems and programs, with a track record of delivering accuracy, reliability, and continuous improvement in high-stakes environments.",Information Technology
Territory Sales Manager at d.light,d.light,"Roles & Responsibilities
Ensure proper visibility and availability of d.light products in the territory assigned.
Provide reports as required, give feedback on market intelligence and competition.
Ensure timely and proper execution of sales activities within the designated territory.
Achievement of defines targets (sales in & out, merchandising, outlet growth, customer satisfaction, outlet stockholding, sales per outlet, journey planning).
Ensure recruited outlets meet the defines criteria.
Manage and co-ordinate Territory Sales Executives (TSEs) within assigned locations.
Journey planning for self and for Territory Sales Executives (TSEs) – ensuring that movement within designated geographies is planned for optimal time & cost efficiency.
Manage business relationships with outlets in designated territory to ensure stock availability at all times and in the desired quantities.
Ensure adequate stock of Point of Sale materials and enforcement of in-store merchandising.
Train outlet owners/ managers on d.light products, selling tools, Point of Sale materials and warranty handling.
Provide learning and improvement feedback on the execution plan to the Regional Business Manager.
Co-ordinate Regional Outlet activities i.e. make orders for them, ensure the Territory Sales Executives (TSEs) work to move stock out for re-order.
Analyze competitor activities in the region and assess opportunities for business development.
KPIs
Deliver within the set sales targets (monthly and quarterly) on PAYGO and Portable portfolio.
Optimized active sales head count.
Skills and Competencies
Bachelor's Degree in Sales, Business Management, or a related field. Previous experience working as a Territory Sales Manager.
Relevant industry background in a related industry with 4-5 years of sales experience will be an added advantage.
Experience working in a rapid sales growth environment.
Proven track record of hitting and exceeding targets and building partnerships.
Excellent people skills.
An ability to build relationships with people at all levels.
Demonstrate problem solving capability – ability to create win-win situations while deriving desired numbers and outcomes.
Willingness to spend an average of 4 days a week in the field.
A valid Kenya Driving License.
Strong mindset for continuous improvement and meeting or exceeding expectations and able to demonstrate complete discretion and confidentiality.",,Skills and Competencies,Manage and co-ordinate Territory Sales Executives (TSEs) within assigned locations.,Unclear,"Bachelor's Degree in Sales, Business Management, or a related field. Previous experience working as a Territory Sales Manager.",Business
Customer Performance Officer - eMobility at M-KOPA Solar,M-KOPA Solar,"Expertise
We are seeking motivated professionals with strong communication skills and a keen ability to manage complex customer interactions. Your success will be measured by your capacity to navigate challenging financial conversations, maintain accurate records, and contribute to our overall portfolio performance.
Ideal candidates will have experience in collections, fleet management, or customer performance roles, with a demonstrated ability to work in fast-paced environments. We value proficiency in data tracking systems like Excel and Freshdesk, and a willingness to conduct field visits and engage with local authorities. Familiarity with motorbike financing or e-mobility sectors will be considered a significant advantage.
Your adaptability, attention to detail, and commitment to professional customer engagement will be key to your success in this transformative role.",,"We are seeking motivated professionals with strong communication skills and a keen ability to manage complex customer interactions. Your success will be measured by your capacity to navigate challenging financial conversations, maintain accurate records, and contribute to our overall portfolio performance.",,Unclear,"Ideal candidates will have experience in collections, fleet management, or customer performance roles, with a demonstrated ability to work in fast-paced environments. We value proficiency in data tracking systems like Excel and Freshdesk, and a willingness to conduct field visits and engage with local authorities. Familiarity with motorbike financing or e-mobility sectors will be considered a significant advantage.",Other
Senior CMC Technical Advisor at U.S. Pharmacopeial Convention (USP),U.S. Pharmacopeial Convention (USP),"The Senior CMC Technical Advisor has the following responsibilities:
Lead GMP audits and provide technical assistance to manufacturers on technology transfer, dossier development, and compliance with WHO PQ, PIC/S, and EC standards through training and deployment of best-practice tools.
Develop technical documents and tools to support localization of medical product manufacturing in LMICs.
Identify CMC risks and design mitigation strategies and contingency plans to ensure project continuity.
Conduct compliance audits aligned with WHO Prequalification and other international standards; guide manufacturers in implementing corrective actions and compliance strategies.
Facilitate public-private partnerships to strengthen regional manufacturing ecosystems and improve access to quality pharmaceuticals.
Collaborate with cross-functional teams to design and implement manufacturing strategies that align with global best practices.
Review and provide timely, high-quality input on technical deliverables and donor reports to ensure accuracy and compliance.
Monitor global and regional manufacturing trends and regulatory requirements, with a focus on Africa, and share insights with internal teams.
Represent USP in international manufacturing forums and contribute to shaping global policy discussions.
Perform additional CMC-related tasks as assigned by leadership to support program objectives.
Who is USP Looking For?
The successful candidate will have a demonstrated understanding of our mission, commitment to excellence through inclusive and equitable behaviors and practices, ability to quickly build credibility with stakeholders, along with the following competencies and experience:
Perform additional CMC-related tasks as assigned by leadership to support program objectives.
Minimum of 10 years of hands-on experience in pharmaceutical manufacturing and process development.
Proven expertise in manufacturing processes, comparability and feasibility studies, stability programs, analytical development, and preparation of regulatory submissions.
In-depth knowledge of WHO PQ, PIC/S guidelines, WHO Technical Report Series, EC specifications, and UNICEF technical standards.
Comprehensive understanding of CMC principles and GMP requirements for medicines, packaging, and related areas.
Demonstrated experience navigating regulatory authority registration processes.
Exceptional technical writing and oral communication skills, with ability to produce high-quality documentation.
Willingness and ability to travel up to 25% of the time.",Conduct compliance audits aligned with WHO Prequalification and other international standards; guide manufacturers in implementing corrective actions and compliance strategies.,"Exceptional technical writing and oral communication skills, with ability to produce high-quality documentation.",,Unclear,,Marketing & Sales
"Senior Officer, Advocacy - Product Introduction (Infectious Disease) at Gates Foundation",Gates Foundation,"What You'll Do
Co-develop advocacy strategies to address political, policy, and regulatory barriers to both R&D progress and introduction and scaling of high-impact infectious disease innovations, with emphasis on complex biotechnology products, in priority geographies. 
Build close relationships in priority countries to ensure that advocacy and policy engagement reflects and reinforces national priorities, supporting countries to set their own research, adoption, and scale-up agendas, and to exercise leadership in regional and global forums. 
Serve as a senior resource on high-impact and emerging interventions for infectious diseases, particularly those with potential to dramatically reshape health delivery costs and reach, requiring new policy paradigms, regulatory innovation, and robust public engagement strategies. 
Coordinate with governments, development partners, regional bodies, and advocacy stakeholders to align infectious disease innovations with national health strategies, optimize financing, and strengthen enabling systems—including biosafety, ethics, and product approval processes. 
Analyze R&D evidence with country scale-up approaches, ensuring evidence informs policy and financing decisions. 
Oversee complex, performance-based contracts and grants supporting advocacy for infectious disease product introduction, ensuring high-quality execution and accountability. 
Manage partnerships and grantee relationships to foster collective learning, advocacy impact, and accountability. 
Collaborate across foundation teams and workstreams to align products, policy, regulatory, and financing, leveraging cross-sector opportunities to amplify advocacy impact.  
Your Experience 
Minimum 10 years’ relevant experience with advanced degree in medicine, public health, health economics, public policy, biotechnology, or similar fields. 
Proven understanding of biotechnology R&D ecosystems, including the regulatory, ethical, and political factors influencing development and deployment in African contexts. 
Experience communicating around policy and advocacy for complex product introduction and scale, working with governments, academic institutions, NGOs, private sector, and professional associations. 
Experience engaging with national and regional regulatory authorities, ethics committees, and policy frameworks governing biotechnology and infectious disease tools in Africa. 
Experience in product adoption and scale in LMIC settings is an asset. 
Understanding of health systems and the economic, social, and political factors influencing infectious disease outcomes in SSA. 
Experience building partnerships and working collaboratively to meet shared objectives, orchestrate effective decisions across diverse partners, and align innovation with public priorities. 
Ability to navigate complexity and ambiguity, solve problems, and manage relationships in a fast-paced environment. 
Strong communication skills for conveying complex situations clearly to diverse audiences.",,Strong communication skills for conveying complex situations clearly to diverse audiences.,,Unclear,Your Experience,Education
